编号,最终文件名,系列,底图变体,材质/纹理,印章素材,手写素材,小物件1,小物件2,纸张痕迹,滤镜,传奇特征,稀有度,图片是否生成,metadata是否生成,是否通过规则校验,需要人工复查,备注
NRA-0069,NRA_0069_MidnightDiner_B04_VAR_05_CLOSED.png,Midnight Diner,B04_VAR_05,PAT_LEOPARD_01,STAMP_CLOSED,NOTE_1138PM,PROP_MATCHBOOK_01,PROP_SUGAR_PACKET_01,DMG_COFFEE_RING_01,OVERLAY_SOFT_VIGNETTE_01,,Rare,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #11 [Rare]
NRA-0070,NRA_0070_TokenPawn_B06_VAR_08_CLAIM_CLOSED.png,Token Pawn,B06_VAR_08,,STAMP_CLAIM_CLOSED,NOTE_UNCLAIMED,PROP_VINTAGE_BUTTON_01,PROP_VINTAGE_COIN_03,DMG_SMALL_TEAR_01,OVERLAY_FILM_GRAIN_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #13 [Common]
NRA-0071,NRA_0071_SunsetMart_B03_VAR_02_NO_REFUNDS.png,Sunset Mart,B03_VAR_02,,STAMP_NO_REFUNDS,NOTE_AISLE_3,PROP_PLASTIC_STRAW_01,PROP_VINTAGE_COMB_01,DMG_COFFEE_RING_02,OVERLAY_SCAN_NOISE_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #9 [Common]
NRA-0072,NRA_0072_MidnightDiner_B02_VAR_12_1_OF_1_GOLD.png,Midnight Diner,B02_VAR_12,MAT_GLASS_ARCHIVE_01,STAMP_1_OF_1_GOLD,NOTE_LAST_ORDER,PROP_FORK_01,PROP_MATCHBOOK_01,DMG_DUST_SPECKS_02,OVERLAY_FILM_GRAIN_01,OVERLAY_LUXE_VIGNETTE_01;PROP_CROWN_CHROME_01,Legendary,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #12 [Legendary]
NRA-0073,NRA_0073_SunsetMart_B05_VAR_02_NO_REFUNDS.png,Sunset Mart,B05_VAR_02,,STAMP_NO_REFUNDS,NOTE_512PM,PROP_VINTAGE_COIN_01,PROP_SAFETY_RAZOR_01,DMG_WATER_STAIN_03,OVERLAY_DUST_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #10 [Common]
NRA-0074,NRA_0074_SunsetMart_B06_VAR_02_NO_REFUNDS.png,Sunset Mart,B06_VAR_02,MAT_FROSTED_RECEIPT_01,STAMP_NO_REFUNDS,NOTE_FINAL_SALE,PROP_ENVELOPE_CORNER_01,PROP_SAFETY_RAZOR_01,DMG_THERMAL_FADE_01,OVERLAY_FADED_INK_01,,Rare,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #11 [Rare]
NRA-0075,NRA_0075_MidnightDiner_B06_VAR_10_CLOSED.png,Midnight Diner,B06_VAR_10,,STAMP_CLOSED,NOTE_TABLE_6,PROP_VINTAGE_COIN_02,PROP_FORK_01,DMG_FOLD_03,OVERLAY_SCAN_NOISE_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #13 [Common]
NRA-0076,NRA_0076_NightOwlVideo_B02_VAR_09_NO_REFUNDS.png,Night Owl Video,B02_VAR_09,,STAMP_NO_REFUNDS,NOTE_LATE_FEE,PROP_VINTAGE_COIN_03,PROP_VINYL_LABEL_01,DMG_DUST_SPECKS_02,OVERLAY_SCAN_NOISE_01,PROP_HOLO_SEAL_01,Rare,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #13 [Rare]
NRA-0077,NRA_0077_Lucky8GasMotel_B05_VAR_05_ROOM_PAID.png,Lucky 8 Gas & Motel,B05_VAR_05,,STAMP_ROOM_PAID,NOTE_ROOM_8,PROP_OLD_KEY_03,PROP_GAS_STATION_TOKEN_01,DMG_FOLD_03,OVERLAY_DUST_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #13 [Common]
NRA-0078,NRA_0078_Lucky8GasMotel_B03_VAR_05_ROOM_PAID.png,Lucky 8 Gas & Motel,B03_VAR_05,MAT_TRANSPARENT_RECEIPT_01,STAMP_ROOM_PAID,NOTE_PAID_CASH,PROP_GAS_STATION_TOKEN_01,PROP_OLD_KEY_01,DMG_WATER_STAIN_03,OVERLAY_DUST_01,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #14 [Uncommon]
NRA-0079,NRA_0079_MidnightDiner_B02_VAR_10_NO_REFUNDS.png,Midnight Diner,B02_VAR_10,,STAMP_NO_REFUNDS,NOTE_LAST_ORDER,PROP_WHISKEY_BOTTLE_01,PROP_VINTAGE_COIN_01,DMG_COFFEE_RING_02,OVERLAY_SOFT_VIGNETTE_01,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #14 [Uncommon]
NRA-0080,NRA_0080_MidnightDiner_B03_VAR_08_LAST_ORDER.png,Midnight Diner,B03_VAR_08,,STAMP_LAST_ORDER,NOTE_1138PM,PROP_VINTAGE_COIN_01,PROP_SPOON_01,DMG_COFFEE_RING_03,OVERLAY_FILM_GRAIN_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #15 [Uncommon]
NRA-0081,NRA_0081_SideBRecords_B06_VAR_07_STORE_CREDIT.png,Side B Records,B06_VAR_07,MAT_TRANSPARENT_RECEIPT_01,STAMP_STORE_CREDIT,NOTE_TRACK_07,PROP_PRICE_STICKER_01,PROP_VINTAGE_SCISSORS_01,DMG_DUST_SPECKS_01,OVERLAY_SCAN_NOISE_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #15 [Uncommon]
NRA-0082,NRA_0082_Lucky8GasMotel_B02_VAR_05_ROOM_PAID.png,Lucky 8 Gas & Motel,B02_VAR_05,,STAMP_ROOM_PAID,NOTE_PAID_CASH,PROP_OLD_KEY_02,PROP_KEYCHAIN_01,DMG_FOLD_02,OVERLAY_DUST_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #15 [Common]
NRA-0083,NRA_0083_SunsetMart_B01_VAR_02_FINAL_SALE.png,Sunset Mart,B01_VAR_02,,STAMP_FINAL_SALE,NOTE_FINAL_SALE,PROP_VINTAGE_COIN_01,PROP_VINTAGE_COIN_03,DMG_WATER_STAIN_02,OVERLAY_ARCHIVE_YELLOWING_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #12 [Common]
NRA-0084,NRA_0084_MidnightDiner_B03_VAR_03_LAST_ORDER.png,Midnight Diner,B03_VAR_03,,STAMP_LAST_ORDER,NOTE_LAST_ORDER,PROP_SPOON_01,PROP_CORKSCREW_01,DMG_EDGE_WEAR_02,OVERLAY_DUST_01,PROP_CROWN_GOLD_01,Rare,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #16 [Rare]
NRA-0085,NRA_0085_SideBRecords_B03_VAR_02_VAULTED_GOLD.png,Side B Records,B03_VAR_02,MAT_BLACK_GOLD_RECEIPT_01,STAMP_VAULTED_GOLD,NOTE_STORE_CREDIT,PROP_VINTAGE_COIN_03,PROP_COMPASS_01,DMG_TAPE_02,OVERLAY_DUST_02,OVERLAY_IRIDESCENT_GLOW_01;PROP_CROWN_GOLD_01,Legendary,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #16 [Legendary]
NRA-0086,NRA_0086_SunsetMart_B01_VAR_04_CLOSED.png,Sunset Mart,B01_VAR_04,,STAMP_CLOSED,NOTE_AISLE_3,PROP_VINTAGE_COMB_01,PROP_HAIR_CLIP_01,DMG_COFFEE_RING_01,OVERLAY_FADED_INK_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #13 [Common]
NRA-0087,NRA_0087_NightOwlVideo_B05_VAR_03_NO_REFUNDS.png,Night Owl Video,B05_VAR_03,,STAMP_NO_REFUNDS,NOTE_RETURNED_EMPTY,PROP_RECORD_SLEEVE_CORNER_01,PROP_VINYL_LABEL_01,DMG_TAPE_01,OVERLAY_FILM_GRAIN_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #14 [Common]
NRA-0088,NRA_0088_Lucky8GasMotel_B01_VAR_01_NO_VACANCY.png,Lucky 8 Gas & Motel,B01_VAR_01,,STAMP_NO_VACANCY,NOTE_EXIT_22,PROP_ASHTRAY_01,PROP_KEYCHAIN_01,DMG_WATER_STAIN_02,OVERLAY_SOFT_VIGNETTE_01,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #16 [Uncommon]
NRA-0089,NRA_0089_NightOwlVideo_B02_VAR_03_DO_NOT_OPEN.png,Night Owl Video,B02_VAR_03,,STAMP_DO_NOT_OPEN,NOTE_TAPE_12,PROP_VINTAGE_BADGE_01,PROP_RECORD_SLEEVE_CORNER_01,DMG_DUST_SPECKS_01,OVERLAY_SCAN_NOISE_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #15 [Common]
NRA-0090,NRA_0090_NightOwlVideo_B07_VAR_04_NO_REFUNDS.png,Night Owl Video,B07_VAR_04,MAT_FROSTED_RECEIPT_01,STAMP_NO_REFUNDS,NOTE_TAPE_12,PROP_VINTAGE_LIGHTER_01,PROP_PRICE_STICKER_01,DMG_FOLD_02,OVERLAY_FADED_INK_01,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #16 [Uncommon]
NRA-0091,NRA_0091_SunsetMart_B02_VAR_11_CLOSED.png,Sunset Mart,B02_VAR_11,MAT_GLOW_INK_01,STAMP_CLOSED,NOTE_AISLE_3,PROP_SUGAR_PACKET_01,PROP_VINTAGE_COIN_01,DMG_DUST_SPECKS_01,OVERLAY_DUST_01,,Rare,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #14 [Rare]
NRA-0092,NRA_0092_TokenPawn_B02_VAR_06_CLAIM_CLOSED.png,Token Pawn,B02_VAR_06,,STAMP_CLAIM_CLOSED,NOTE_HOLD_TAG,PROP_VINTAGE_COIN_03,PROP_VINTAGE_RING_02,DMG_FOLD_01,OVERLAY_FILM_GRAIN_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #14 [Common]
NRA-0093,NRA_0093_SunsetMart_B02_VAR_12_CLOSED.png,Sunset Mart,B02_VAR_12,,STAMP_CLOSED,NOTE_LAST_SHIFT,PROP_VINTAGE_COIN_03,PROP_SAFETY_RAZOR_01,DMG_EDGE_WEAR_01,OVERLAY_DUST_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #15 [Common]
NRA-0094,NRA_0094_Lucky8GasMotel_B03_VAR_04_ROOM_PAID.png,Lucky 8 Gas & Motel,B03_VAR_04,,STAMP_ROOM_PAID,NOTE_NO_VACANCY,PROP_KEYCHAIN_01,PROP_ASHTRAY_01,DMG_WATER_STAIN_02,OVERLAY_SOFT_VIGNETTE_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #17 [Common]
NRA-0095,NRA_0095_SunsetMart_B07_VAR_01_NO_REFUNDS.png,Sunset Mart,B07_VAR_01,,STAMP_NO_REFUNDS,NOTE_512PM,PROP_CANDY_WRAPPER_01,PROP_SMALL_BOTTLE_01,DMG_WATER_STAIN_02,OVERLAY_FADED_INK_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #16 [Common]
NRA-0096,NRA_0096_MidnightDiner_B04_VAR_03_LAST_ORDER.png,Midnight Diner,B04_VAR_03,,STAMP_LAST_ORDER,NOTE_1138PM,PROP_CORKSCREW_01,PROP_COFFEE_STIRRER_01,DMG_COFFEE_RING_03,OVERLAY_FILM_GRAIN_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #17 [Common]
NRA-0097,NRA_0097_TokenPawn_B06_VAR_09_PAWN_HOLD.png,Token Pawn,B06_VAR_09,PAT_HOLO_GRID_01,STAMP_PAWN_HOLD,NOTE_HOLD_TAG,PROP_VINTAGE_COIN_01,PROP_POCKET_WATCH_01,DMG_FOLD_02,OVERLAY_FILM_GRAIN_02,,Rare,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #15 [Rare]
NRA-0098,NRA_0098_NightOwlVideo_B02_VAR_10_CHECKED_OUT.png,Night Owl Video,B02_VAR_10,,STAMP_CHECKED_OUT,NOTE_DUE_FRIDAY,PROP_VINTAGE_LIGHTER_01,PROP_VINTAGE_COIN_02,DMG_FOLD_03,OVERLAY_DUST_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #17 [Common]
NRA-0099,NRA_0099_TokenPawn_B03_VAR_01_CLAIM_CLOSED.png,Token Pawn,B03_VAR_01,,STAMP_CLAIM_CLOSED,NOTE_CASE_14,PROP_VINTAGE_BUTTON_01,PROP_POCKET_WATCH_01,DMG_FOLD_02,OVERLAY_ARCHIVE_YELLOWING_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #16 [Common]
NRA-0100,NRA_0100_SideBRecords_B06_VAR_05_STORE_CREDIT.png,Side B Records,B06_VAR_05,,STAMP_STORE_CREDIT,NOTE_TRACK_07,PROP_VINYL_LABEL_01,PROP_VINTAGE_COIN_01,DMG_DUST_SPECKS_02,OVERLAY_FILM_GRAIN_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #17 [Uncommon]
